,interest_rate,grade,debt_to_income
320,10.49,B,18.58
321,8.39,B,11.82
322,11.55,B,25.58
323,30.79,G,16.13
324,8.9,A,13.21
325,29.96,G,23.9
326,15.61,D,7.33
327,6.99,A,22.34
328,24.74,E,23.55
329,12.62,C,18.7
330,14.65,C,12.38
331,18.06,D,23.71
332,12.49,B,24.1
333,9.43,B,18.94
334,7.89,A,9.76
335,16.02,C,11.73
336,12.99,C,21.1
337,10.08,B,16.37
338,15.99,C,2.24
339,11.67,B,19.83
340,5.31,A,6.26
341,6.89,A,21.62
342,18.25,D,14.22
343,5.32,A,28.46
344,11.99,B,15.3
345,14.65,C,15.55
346,12.69,C,12.27
347,15.05,C,27.59
348,8.39,B,11.44
349,10.78,B,9.48
350,5.32,A,18.17
351,9.58,B,20.6
352,17.27,C,16.96
353,18.99,D,30.24
354,21.98,E,15.28
355,13.56,C,13.01
356,11.98,B,24.68
357,7.21,A,16.76
358,18.94,D,9.88
359,15.41,D,9.33
360,12.73,B,21.6
361,7.12,A,10.71
362,8.24,B,21.73
363,12.49,B,22.19
364,13.59,C,28.39
365,7.21,A,12.35
366,7.97,A,16.07
367,12.79,C,9.48
368,12.69,C,16.62
369,7.89,A,20.62
370,10.42,B,28.67
371,9.93,B,29.51
372,7.96,A,1.54
373,30.99,G,24.69
374,10.16,B,25.3
375,9.99,B,7.83
376,24.84,E,13.64
377,26.24,E,23.34
378,14.47,C,17.57
379,11.47,B,20.63
380,7.89,A,19.24
381,9.49,B,21.74
382,14.46,C,22.79
383,17.57,D,34.83
384,15.59,D,28.14
385,7.97,A,21.61
386,14.48,C,26.88
387,7.69,A,13.33
388,20.99,E,29.32
389,12.98,B,19.51
390,14.98,C,16.49
391,11.47,B,28.5
392,22.99,F,8.6
393,9.44,B,17.7
394,12.74,C,15.59
395,24.99,E,32.59
396,12.62,C,8.25
397,11.55,B,6.43
398,15.05,C,27.74
399,6.24,A,11.66
400,13.99,C,21.43
401,14.3,C,9.04
402,10.9,B,1.35
403,17.77,D,10.73
404,10.07,B,10.49
405,12.49,B,10.45
406,9.67,B,18.03
407,12.12,B,15.15
408,12.61,C,27.27
409,10.15,B,20.88
410,12.74,C,19.48
411,7.97,A,16.36
412,8.9,A,18.55
413,6.03,A,15.15
414,17.57,D,7.38
415,14.47,C,2.27
416,19.99,E,12.3
417,5.32,A,22.41
418,15.31,C,24.15
419,8.18,B,18.26
420,8.24,B,18.89
421,18.94,D,3.45
422,13.11,B,23.07
423,12.62,C,17.59
424,14.48,C,14.46
425,18.45,D,19.78
426,10.42,B,14.46
427,13.56,C,16.41
428,16.02,C,16.89
429,15.8,C,12.59
430,20.89,D,31.05
431,18.99,D,37.42
432,6.89,A,14.4
433,15.31,C,11.32
434,17.57,D,16.73
435,7.26,A,16.06
436,6.92,A,10.68
437,10.99,B,26.88
438,9.67,B,22.88
439,10.9,B,33.67
440,23.99,E,34.5
441,7.46,A,28.52
442,10.99,B,32.56
443,14.07,C,9
444,13.59,C,26.06
445,12.62,C,19.58
446,18.49,D,30.72
447,13.99,C,3.58
448,7.96,A,0.81
449,16.99,D,23.07
450,11.53,B,30.08
451,19.89,E,28.34
452,12.49,B,5.3
453,8.81,A,7.57
454,16.55,D,36.62
455,6.03,A,9.88
456,19.03,D,7.27
457,9.17,B,38.25
458,22.74,E,12.28
459,7.99,A,22.76
460,15.31,C,20.02
461,21.49,D,4.01
462,13.99,C,23.02
463,10.33,B,6.88
464,17.86,D,16.79
465,16.02,C,12.58
466,11.99,B,12.85
467,10.65,B,5.2
468,12.61,C,0
469,13.49,C,10.03
470,24.5,F,33.12
471,11.49,B,17
472,9.99,B,11.09
473,8.18,B,15.34
474,7.97,A,15.83
475,6.49,A,15.64
476,14.99,C,23.4
477,9.92,B,17.67
478,14.22,C,24.83
479,10.91,B,23.77
480,12.12,B,15.39
481,9.93,B,18.44
482,11.98,B,30.25
483,11.53,B,22.98
484,12.69,C,23.5
485,6.07,A,20.64
486,9.43,B,29.5
487,10.49,B,18.23
488,9.92,B,7.37
489,24.37,E,23.23
490,18.25,E,31.13
491,10.99,B,15.89
492,13.49,C,32.92
493,15.31,C,7.37
494,10.91,B,13.14
495,9.76,B,27.35
496,16.91,C,17.91
497,9.25,A,22.4
498,13.59,C,22.42
499,16.99,D,14.54
500,11.99,C,30.5
501,19.72,D,12.18
502,16.91,C,24.11
503,10.33,B,23.22
504,7.21,A,16.06
505,13.99,C,7.7
506,8.81,A,14.18
507,9.67,B,17.97
508,30.75,F,17.43
509,18.25,D,30.37
510,9.75,B,14.89
511,17.47,D,29.99
512,8.9,A,14.4
513,7.24,A,23.78
514,9.93,B,13.53
515,19.03,D,18
516,12.88,C,10.18
517,28.69,F,21.64
518,11.53,B,17.85
519,7.9,A,9.35
520,10.49,B,12.53
521,18.55,D,26.62
522,11.06,B,36.24
523,9.93,B,20.34
524,9.16,B,26.93
525,11.53,B,38.3
526,13.99,C,19.43
527,12.74,C,31.04
528,12.49,B,9.93
529,6.03,A,9.94
530,15.61,D,21.45
531,25.82,E,23.47
532,6.49,A,24.98
533,14.47,C,10.97
534,20.99,E,36.71
535,11.49,B,14.85
536,10.91,B,10.5
537,24.37,E,41.33
538,16.29,C,27.46
539,12.74,C,12.41
540,10.75,B,26.36
541,12.39,C,21.6
542,13.35,C,8.08
543,13.58,C,23.41
544,10.41,B,3.53
545,10.08,B,27.5
546,18.94,D,28.92
547,13.49,C,31.64
548,11.39,B,17.22
549,9.17,B,6.99
550,26.3,E,5.93
551,20.75,E,16.99
552,19.99,D,18.28
553,12.99,C,36.92
554,12.61,C,30.08
555,14.49,C,20.06
556,18.25,D,18.5
557,5.32,A,14.33
558,6.89,A,9.11
559,11.49,B,9.78
560,20.75,E,7.99
561,14.99,C,12.26
562,17.76,D,12.41
563,8.39,B,7.5
564,6.03,A,7.47
565,15.8,C,22.42
566,9.75,B,15.41
567,9.92,B,15.09
568,17.86,D,16.59
569,18.45,D,23.79
570,5.32,A,11.87
571,11.05,B,4.48
572,14.47,C,11.73
573,19.03,D,9.16
574,13.67,C,3.34
575,15.49,C,53.93
576,9.91,B,16.28
577,21.49,D,29.8
578,10.16,B,10.95
579,16.99,D,0.97
580,12.98,C,20.38
581,19.99,E,27.24
582,16.91,C,32.94
583,12.13,B,26.58
584,11.49,B,29.02
585,24.99,F,13.58
586,13.68,C,9.82
587,17.99,D,14.18
588,11.53,B,1.65
589,12.12,B,22.8
590,13.99,C,22.55
591,14.33,C,11.92
592,17.09,D,4.2
593,10.75,B,23.24
594,7.35,A,9.32
595,15.05,C,4.33
596,17.27,C,27.09
597,11.98,B,4.4
598,5.32,A,10.84
599,9.17,B,9.7
600,12.62,C,33.67
601,10.99,B,21.1
602,12.62,C,14.51
603,15.05,C,34.23
604,11.67,B,5.94
605,6.08,A,20.16
606,21.49,D,11.77
607,16.29,C,21.7
608,13.49,C,19.15
609,16.14,C,9.28
610,7.34,A,24.42
611,13.49,C,25.49
612,17.97,D,24.96
613,8.49,B,0.39
614,11.8,B,18.69
615,14.99,C,12.7
616,19.2,D,9.12
617,10.9,B,15.31
618,9.93,B,23.9
619,6.11,A,14.22
620,11.49,B,14.65
621,7.99,A,19.44
622,7.26,A,9.24
623,12.73,B,12.29
624,18.25,E,33.04
625,8.9,A,16.55
626,11.99,B,28.01
627,13.58,C,19.98
628,16.91,C,26.23
629,10.49,B,21.99
630,10.99,B,1.77
631,5.32,A,7.98
632,27.88,G,17.22
633,16.29,D,38.64
634,7.35,A,25.59
635,6.19,A,19.15
636,13.59,C,19.24
637,12.61,C,28.86
638,13.11,B,17.97
639,13.99,C,19.16
640,18.94,D,30.93
641,12.13,B,13.42
642,12.79,C,1.64
643,18.25,D,4.67
644,6.24,A,9
645,13.49,C,12.66
646,18.06,D,14.38
647,10.49,B,31.75
648,7.84,A,1.92
649,18.99,D,18.36
650,10.47,B,2.67
651,8.24,B,1.89
652,7.91,A,21.64
653,5.32,A,13.16
654,7.62,A,10.91
655,7.26,A,17.33
656,8.24,B,11.42
657,7.89,A,31.55
658,13.67,C,36.89
659,15.99,C,34.44
660,6.97,A,18.66
661,13.67,C,26.49
662,15.21,D,17.3
663,9.17,B,14.57
664,10.49,B,7.35
665,30.84,G,7.72
666,8.46,A,16.05
667,12.62,C,16.25
668,14.99,C,13.49
669,7.46,A,12.89
670,11.55,B,16.92
671,10.37,B,14.26
672,24.5,F,21.7
673,18.06,D,20.22
674,7.34,A,4.59
675,15.02,C,17.65
676,5.32,A,12.51
677,10.91,B,9.55
678,7.21,A,19.93
679,11.31,B,21.44
680,12.62,C,17.02
681,16.14,C,37.3
682,21.85,D,17.09
683,14.46,C,17.86
684,13.49,C,17.65
685,11.8,B,16.87
686,10.49,B,8.27
687,17.09,D,34.52
688,11.31,B,16.42
689,11.06,B,31.46
690,20.39,D,17.62
691,7.91,A,24.67
692,9.93,B,7.76
693,15.59,D,34.72
694,16.91,C,11.63
695,6.71,A,13.35
696,20.39,D,58.98
697,7.84,A,22.92
698,20,D,21.71
699,7.89,A,10.89
700,16.29,C,24.82
701,15.05,C,14.68
702,9.16,B,10.17
703,6.03,A,7.53
704,8.18,B,12.23
705,11.99,B,31.48
706,12.13,B,7.15
707,6.62,A,23.44
708,14.47,C,18.74
709,7.21,A,4.46
710,12.73,B,21.14
711,12.49,B,14.45
712,15.05,C,8.62
713,15.02,C,3.31
714,15.8,C,18.6
715,13.61,C,10.58
716,15.05,C,26.59
717,20.2,E,15.03
718,16.59,D,9.68
719,11.55,B,20.96
720,8.18,B,19.57
721,11.53,B,13.73
722,18.06,D,29.87
723,11.99,C,11.76
724,10.99,B,20.97
725,8.39,B,15.61
726,8.18,B,29.56
727,24.99,F,8.88
728,14.46,C,40.95
729,6.83,A,27.47
730,6.08,A,22.97
731,9.17,B,33.99
732,9.75,B,13.54
733,21.45,D,13.22
734,5.32,A,15.05
735,22.45,E,16.95
736,16.78,C,17.36
737,10.16,B,1.78
738,6.03,A,17.25
739,7.35,A,22.98
740,6.97,A,11.59
741,8.19,A,17.97
742,9.99,B,18
743,14.27,C,11.09
744,16.14,C,28.57
745,12.62,C,11.91
746,15.99,D,20.27
747,19.52,E,31.15
748,17.27,D,35.3
749,6.99,A,17.56
750,5.32,A,12.56
751,5.32,A,5.57
752,11.49,B,13.85
753,16.59,D,24.12
754,13.99,C,8.61
755,11.99,B,15.5
756,16.91,C,10.57
757,8.59,A,15.55
758,11.49,B,15.19
759,19.72,D,8.92
760,6.07,A,6.05
761,12.29,C,28.09
762,18.54,E,16.74
763,11.99,C,23.81
764,7.12,A,27.47
765,16.99,D,14.36
766,11.49,B,20.72
767,19.72,D,24.53
768,12.69,C,15.56
769,12.99,B,10.65
770,18.85,D,32.31
771,17.56,D,30.36
772,12.74,C,23.02
773,12.99,C,14.95
774,9.67,B,12.4
775,11.99,B,26
776,21.45,D,30.06
777,8.59,A,13.48
778,14.49,C,34.34
779,15.59,C,26.38
780,25.34,E,24.72
781,11.49,B,4.31
782,10.99,B,31.41
783,8.39,B,5.37
784,12.98,B,18.37
785,11.55,B,16.92
786,13.58,C,15.12
787,13.06,C,28.44
788,11.55,B,11.7
789,16.91,C,18.17
790,6.11,A,17.98
791,14.65,C,13.57
792,7.96,A,11.6
793,9.44,B,21.16
794,21.45,D,33.78
795,11.98,B,19.91
796,11.49,B,28.55
797,11.44,B,13.17
798,6.49,A,7.64
799,18.54,E,10
800,18.99,E,1.04
801,14.99,C,30.04
802,18.2,E,19.51
803,13.67,C,18.1
804,12.12,B,11.59
805,24.99,F,6.75
806,6.24,A,20.75
807,12.13,B,25.75
808,16.14,C,28.84
809,5.32,A,9.97
810,9.17,B,21.46
811,18.06,D,11.36
812,11.55,B,9.67
813,7.99,A,16.56
814,19.52,D,26.64
815,17.27,D,20.18
816,11.55,B,14.53
817,7.9,A,7.29
818,18.99,D,24.9
819,18.06,D,21.05
820,16.14,C,11.51
821,15.02,C,22.02
822,19.42,D,23.43
823,19.42,D,21.38
824,12.29,C,18.15
825,9.67,B,27.03
826,21.85,D,24.18
827,12.69,C,20.8
828,11.99,B,8.63
829,18.45,D,37.43
830,17.57,D,12.58
831,12.99,C,19.61
832,12.99,C,18.12
833,16.78,C,18.61
834,9.43,B,3.24
835,15.99,C,8.71
836,10.33,B,17.01
837,20,D,4.25
838,21.6,E,13.01
839,20.99,E,19.94
840,8.18,B,15.34
841,7.99,A,11.57
842,17.97,D,21.23
843,19.99,D,14.26
844,13.99,C,22.1
845,15.61,C,16
846,10.64,B,20.23
847,9.16,B,15.5
848,18.94,D,11.77
849,11.47,B,8.07
850,16.91,C,8.19
851,13.99,C,12.75
852,8.08,A,9.73
853,15.31,C,20.14
854,11.49,B,20.1
855,9.43,B,9.5
856,7.84,A,11.22
857,14.46,C,3.46
858,12.74,C,14.12
859,12.29,C,15.84
860,11.47,B,12.16
861,13.99,C,9.57
862,8.39,A,19.13
863,12.62,C,32.8
864,6.71,A,22.07
865,15.04,C,18.22
866,5.32,A,19.31
867,16.01,C,27.9
868,7.07,A,19.48
869,18.94,D,6.93
870,8.18,B,14.4
871,12.29,C,20.28
872,11.49,B,17.41
873,11.44,B,55.37
874,14.64,C,32.36
875,8.49,B,35.56
876,16.91,C,5.19
877,13.11,B,27.93
878,10.49,B,23.2
879,11.47,B,51.94
880,9.75,B,18.34
881,6.67,A,18.14
882,7.89,A,6.76
883,11.44,B,24.67
884,6.03,A,19.34
885,5.31,A,5.88
886,11.99,B,26.96
887,6.49,A,8.37
888,9.44,B,18.82
889,10.49,B,6.76
890,7.56,A,27.69
891,19.53,D,5.27
892,21.99,F,14.47
893,6.72,A,13.05
894,11.44,B,12.29
895,5.31,A,9.31
896,5.32,A,4.74
897,12.62,C,18.06
898,14.46,C,16.11
899,12.05,C,9.05
900,19.99,D,8.22
901,7.39,A,13.17
902,19.52,E,21.13
903,14.08,C,9.45
904,19.52,E,23.87
905,18.49,D,18.39
906,7.89,A,21.27
907,12.98,B,3.72
908,11.99,B,5.52
909,17.57,D,22.8
910,12.62,C,13.96
911,9.44,B,21.02
912,9.44,B,21.01
913,6.19,A,24
914,6.62,A,10.02
915,10.42,B,39.57
916,13.49,C,11.62
917,17.47,D,24
918,7.89,A,7.38
919,11.49,B,7.28
920,10.99,B,12.83
921,8.9,A,12.39
922,9.99,B,20.4
923,11.99,B,3.15
924,8.99,B,27.68
925,19.99,E,25.47
926,10.56,B,4.95
927,9.99,B,21.32
928,10.41,B,8.35
929,7.89,A,14.58
930,11.49,B,23.01
931,16.29,D,26.42
932,18.99,D,21.58
933,10.75,B,8.02
934,15.59,C,20.54
935,7.89,A,11.91
936,7.62,A,18.88
937,15.99,C,25.29
938,25.34,E,28.09
939,10.91,B,29.8
940,7.35,A,76.73
941,7.89,A,19.57
942,11.99,B,10.79
943,6.07,A,24.17
944,11.44,B,18.09
945,15.99,D,34.81
946,13.99,C,7.72
947,12.99,C,32.85
948,21.45,D,27.8
949,6.49,A,27.02
950,16.99,D,16.6
951,12.62,C,33.48
952,19.99,D,9.5
953,23.88,E,21.29
954,13.65,C,19.66
955,6.62,A,17.57
956,17.99,D,26.84
957,7.97,A,8.84
958,6.71,A,3.31
959,11.99,B,31
960,7.99,A,26.63
961,14.65,C,8.68
962,7.35,A,23.8
963,13.33,C,8.16
964,13.33,C,13.04
965,11.99,B,20.99
966,17.27,D,21.4
967,14.08,C,53.15
968,9.17,B,15
969,14.49,C,10.11
970,7.96,A,18.3
971,9.92,B,8.68
972,13.99,C,18.43
973,11.49,B,16.67
974,29.69,F,22.67
975,12.59,C,16.83
976,6.68,A,20.62
977,15.05,C,10.58
978,14.99,C,19.46
979,10.91,B,31.59
980,16.91,C,8.6
981,7.97,A,20.41
982,12.69,C,20.76
983,15.61,D,23.6
984,10.15,B,32.94
985,17.99,D,8
986,7.59,A,29.57
987,12.62,C,19.92
988,16.59,D,20.3
989,11.99,C,28.11
990,10.99,B,20.14
991,8.24,B,16.13
992,25.28,F,17.02
993,13.61,C,8.38
994,11.44,B,16.88
995,16.99,D,29.44
996,18.25,E,38.16
997,16.99,D,29.48
998,21.18,E,19.3
999,11.14,B,20.22
1000,11.49,B,26.01
1001,9.92,B,21.74
1002,13.58,C,9.07
1003,21.85,D,33.77
1004,11.53,B,30.19
1005,20.99,E,15.36
1006,8.49,B,19.16
1007,18.94,D,3.68
1008,6.49,A,20.94
1009,20,D,25.52
1010,24.89,F,10.78
1011,12.13,B,13.09
1012,8.39,B,18.21
1013,9.76,B,13.53
1014,9.49,B,27.36
1015,6.62,A,14.12
1016,24.5,F,25.48
1017,6.49,A,26.06
1018,5.32,A,8.44
1019,15.31,C,10.44
1020,10.42,B,10.17
1021,6.49,A,15.94
1022,6.03,A,0.87
1023,18.49,D,11.16
1024,11.05,B,22.19
1025,13.67,C,26.99
1026,11.99,B,23.21
1027,14.08,C,8.63
1028,11.49,B,20.13
1029,15.05,C,17.63
1030,13.18,C,18.31
1031,9.67,B,17.41
1032,8.18,B,27.66
1033,7.99,A,33.38
1034,10.41,B,6.9
1035,6.08,A,13.41
1036,15.59,C,16.67
1037,6.08,A,18.51
1038,13.56,C,15.74
1039,9.93,B,2.75
1040,19.52,E,38
1041,5.32,A,18.59
1042,14.47,C,22.7
1043,15.59,D,7.6
1044,8.18,B,28.98
1045,12.69,C,6.11
1046,13.99,C,22.85
1047,16.02,C,4.76
1048,8.18,B,7.69
1049,14.3,C,21.73
1050,14.08,C,22.32
1051,21.99,F,19.62
1052,30.94,G,29.82
1053,8.18,B,1.31
1054,25.49,E,22.4
1055,9.17,B,14.02
1056,9.92,B,20.02
1057,7.99,A,16.2
1058,23.88,E,24.24
1059,12.74,C,21.68
1060,14.64,C,9.89
1061,8.24,B,19.85
1062,10.91,B,8.26
1063,10.07,B,22.65
1064,12.69,C,23.61
1065,10.49,B,13.66
1066,13.49,C,21.18
1067,19.99,E,20.95
1068,17.86,D,21.85
1069,16.29,D,22.41
1070,10.74,B,3.32
1071,17.86,D,9.63
1072,17.57,D,23.37
1073,11.49,B,18.17
1074,10.16,B,1.69
1075,11.49,B,25.17
1076,12.73,B,18.6
1077,13.11,B,27.34
1078,12.12,B,33.49
1079,5.32,A,8.7
1080,11.39,B,27.81
1081,9.93,B,15.62
1082,13.49,C,25.17
1083,12.99,C,29.38
1084,6.03,A,6.08
1085,14.99,C,17.98
1086,21.45,D,19.84
1087,23.99,F,18.78
1088,12.05,C,24.37
1089,17.27,D,15.11
1090,10.41,B,15.65
1091,14.65,C,23.64
1092,7.26,A,14.35
1093,9.17,B,19.5
1094,13.67,C,24.9
1095,13.49,C,13
1096,12.79,C,4.98
1097,13.11,B,13.6
1098,13.98,C,25.02
1099,19.03,D,26.58
1100,11.67,B,19.98
1101,18.25,D,35.38
1102,8.46,A,16.98
1103,21.49,D,33.36
1104,7.26,A,21.8
1105,11.47,B,14.56
1106,7.84,A,16.73
1107,20.89,D,29.13
1108,8.9,A,7.03
1109,15.61,D,5.93
1110,8.38,B,1.66
1111,9.99,B,16.79
1112,17.27,D,18.31
1113,11.99,B,27.64
1114,16.78,C,25.53
1115,10.72,B,2.85
1116,13.99,C,15.95
1117,6.46,A,5.12
1118,10.42,B,8.08
1119,12.62,C,21.62
1120,16.29,D,13.72
1121,17.99,D,19.66
1122,10.99,B,18.5
1123,7.59,A,14.06
1124,15.05,C,28.39
1125,14.47,C,9.33
1126,7.62,A,15.21
1127,8.99,B,18.9
1128,18.25,D,31.04
1129,16.2,C,22.67
1130,9.75,B,34.08
1131,6.39,A,4.5
1132,7.46,A,7.66
1133,12.99,C,10.27
1134,6.72,A,12.1
1135,19.99,E,25.86
1136,14.31,C,28.37
1137,7.9,A,26.53
1138,9.17,B,12.02
1139,21.48,E,1.56
1140,23.63,F,28
1141,8.81,A,16.18
1142,7.89,A,8.58
1143,9.75,B,26.74
1144,16.02,C,5.09
1145,9.62,B,19.92
1146,7.49,A,25.95
1147,9.17,B,27
1148,15.61,D,8.48
1149,5.32,A,27.21
1150,10.99,B,18.92
1151,6.49,A,14.59
1152,7.26,A,27.52
1153,6.92,A,22.91
1154,7.89,A,19.66
